id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
5,642,381,1,8,,35,,6,14,,2,24,7,19.0,3,0.0,,170,1,45,10,13,2,755252,,1.0,
7,632,215,0,7,,27,,6,21,,2,6,3,3.0,1,0.0,,191,3,18,0,8,3,755252,,0.0,
8,622,298,3,6,,18,,30,18,,3,19,7,23.0,0,1.0,,102,2,10,6,4,2,755252,,0.0,
10,671,382,7,7,,29,,3,21,,3,17,9,0.0,2,0.0,,149,5,26,2,10,9,755252,,1.0,
11,682,173,2,6,,17,,6,165,,10,64,6,3.0,126,0.0,,94,38,1,1,304,1,755252,,2.0,
12,646,431,8,6,,24,,4,20,,4,29,9,5.0,7,0.0,,127,3,40,14,11,4,755252,,2.0,
13,633,266,3,2,,63,,139,50,,3,28,5,1.0,4,0.0,,146,3,16,1,13,4,755252,,1.0,
14,650,552,15,20,,79,,12,36,,6,26,13,15.0,18,1.0,,269,15,214,11,23,7,755252,,9.0,
15,694,238,6,2,,45,,89,49,,5,27,6,9.0,1,0.0,,118,3,3,0,2,2,755252,,0.0,
16,592,521,87,13,,12,,11,24,,5,35,7,124.0,60,3.0,,488,526,9,16,14,8,755252,,51.0,
17,580,390,1,4,,37,,17,13,,0,12,4,13.0,2,1.0,,109,3,120,29,4,1,755252,,4.0,
19,667,51,221,9,,6,,8,15,,3,7,0,19.0,10,2.0,,17,8,3,35,29,4,755252,,3.0,
21,672,451,117,8,,36,,63,36,,4,104,4,6.0,3,0.0,,138,2,0,2,27,5,755252,,0.0,
22,683,283,5,5,,24,,23,11,,3,23,3,2.0,6,0.0,,118,2,2,2,1,3,755252,,0.0,
24,598,390,0,4,,16,,0,11,,5,45,3,50.0,2,0.0,,121,5,122,13,11,4,755252,,8.0,
27,663,338,3,9,,37,,61,22,,2,35,11,5.0,10,0.0,,265,5,47,11,12,2,755252,,2.0,
28,679,248,10,3,,19,,54,19,,1,27,3,1.0,8,0.0,,146,4,6,3,11,1,755252,,0.0,
29,680,224,51,9,,30,,2,5,,21,9,2,7.0,35,0.0,,107,1,0,1,16,201,755252,,1.0,
30,606,501,2,10,,42,,2,24,,1,26,11,6.0,7,4.0,,264,4,120,15,28,4,755252,,4.0,
31,602,333,0,4,,22,,4,4,,3,19,0,1.0,1,0.0,,168,1,15,0,7,2,755252,,0.0,
32,668,120,131,0,,0,,8,43,,3,0,0,15.0,6,0.0,,23,6,0,2,24,6,755252,,0.0,
33,617,451,13,5,,26,,4,10,,2,49,6,8.0,3,2.0,,111,4,142,18,2,4,755252,,3.0,
35,626,0,0,0,,0,,0,3,,0,0,0,0.0,0,0.0,,0,1,0,0,0,0,755252,,0.0,
