id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
3,352,505,20,16,10.0,45,19.0,3,29,103.0,498,64,315,57.0,5,19.0,43.0,91,14,100,482,89,441,790322,,,
5,399,374,9,26,4.0,31,23.0,8,485,64.0,21,83,12,37.0,76,148.0,72.0,146,98,22,120,486,6,790322,,,
8,362,491,3,9,9.0,131,12.0,14,43,25.0,252,28,11,73.0,2,11.0,14.0,169,363,198,87,39,334,790322,,,
10,372,171,7,3,2.0,21,3.0,0,12,2.0,2,4,2,50.0,6,19.0,130.0,108,34,274,97,98,133,790322,,,
13,326,382,22,17,4.0,34,7.0,4,44,9.0,0,9,0,595.0,28,27.0,32.0,248,425,96,246,24,5,790322,,,
14,367,193,0,4,9.0,117,97.0,13,12,0.0,2,4,1,343.0,110,40.0,41.0,28,12,49,232,41,148,790322,,,
16,393,296,2,9,2.0,25,16.0,0,206,38.0,37,117,5,70.0,125,33.0,35.0,136,136,61,184,273,35,790322,,,
18,359,541,5,14,4.0,63,11.0,4,34,4.0,3,6,1,375.0,28,42.0,62.0,294,601,137,204,62,8,790322,,,
19,370,271,11,9,0.0,13,5.0,4,322,30.0,6,42,0,42.0,130,174.0,52.0,144,81,47,363,407,5,790322,,,
20,385,700,38,6,1.0,30,13.0,4,40,1.0,10,150,0,274.0,9,15.0,36.0,414,699,53,69,10,2,790322,,,
21,397,636,16,17,4.0,62,31.0,290,408,36.0,6,34,0,175.0,6,12.0,29.0,175,269,224,83,17,3,790322,,,
23,389,521,17,2,4.0,76,15.0,7,26,4.0,4,7,1,311.0,9,12.0,25.0,320,516,73,129,21,7,790322,,,
24,368,408,9,28,11.0,197,28.0,73,234,19.0,0,5,1,65.0,13,21.0,28.0,150,360,420,237,27,10,790322,,,
25,337,403,3,14,17.0,158,14.0,6,25,47.0,274,53,301,36.0,90,19.0,51.0,83,5,44,217,45,298,790322,,,
27,354,726,11,18,2.0,48,21.0,3,39,6.0,0,3,5,207.0,42,144.0,82.0,418,649,76,233,140,3,790322,,,
28,355,343,3,7,24.0,214,43.0,57,38,5.0,23,15,168,99.0,225,54.0,244.0,55,33,42,197,64,314,790322,,,
31,311,304,3,9,15.0,290,15.0,56,49,5.0,57,26,251,78.0,239,276.0,313.0,141,28,36,119,501,285,790322,,,
32,374,392,2,19,3.0,55,60.0,528,428,59.0,5,19,3,41.0,5,10.0,20.0,169,291,300,59,8,11,790322,,,
33,378,220,7,7,18.0,117,16.0,7,40,6.0,13,39,158,36.0,45,21.0,178.0,35,7,16,54,39,198,790322,,,
34,386,399,26,14,4.0,22,11.0,0,41,12.0,160,18,9,30.0,216,32.0,250.0,197,8,9,41,3,1,790322,,,
36,306,268,11,13,5.0,87,115.0,13,36,3.0,5,17,168,63.0,108,34.0,51.0,43,20,28,254,49,193,790322,,,
37,333,222,5,10,11.0,131,44.0,14,19,2.0,11,14,135,49.0,26,67.0,159.0,231,78,294,151,143,180,790322,,,
38,383,576,18,52,14.0,203,53.0,86,72,61.0,14,40,16,97.0,14,32.0,28.0,181,86,750,166,213,21,790322,,,
39,344,687,4,8,6.0,79,26.0,7,420,39.0,27,254,11,74.0,155,242.0,82.0,392,308,519,176,606,116,790322,,,
40,341,288,0,6,13.0,161,63.0,9,70,3.0,3,24,3,19.0,118,28.0,175.0,70,12,48,215,92,167,790322,,,
41,325,291,7,6,22.0,201,15.0,29,24,3.0,4,14,178,30.0,179,23.0,175.0,47,10,23,55,41,229,790322,,,
42,380,139,3,8,5.0,102,59.0,20,35,8.0,2,3,1,28.0,114,13.0,85.0,59,4,7,45,22,97,790322,,,
43,371,223,4,5,6.0,103,34.0,12,23,2.0,97,19,188,422.0,112,27.0,22.0,82,13,221,253,44,165,790322,,,
45,363,250,9,6,6.0,50,2.0,0,37,8.0,97,21,105,32.0,1,13.0,73.0,61,17,7,55,32,187,790322,,,
46,379,648,12,151,14.0,66,21.0,6,59,12.0,3,41,4,253.0,18,23.0,38.0,436,643,82,93,18,4,790322,,,
47,276,168,6,8,9.0,106,7.0,18,62,7.0,93,21,140,61.0,267,24.0,154.0,71,21,20,107,60,289,790322,,,
50,323,916,10,17,9.0,160,23.0,11,30,8.0,15,255,414,246.0,17,30.0,38.0,322,781,117,392,25,8,790322,,,
51,377,239,10,9,12.0,129,125.0,21,30,2.0,3,11,83,44.0,137,15.0,105.0,12,7,17,53,25,197,790322,,,
59,365,328,4,7,44.0,251,22.0,27,23,2.0,7,16,167,41.0,202,19.0,272.0,35,4,14,34,45,323,790322,,,
60,348,655,23,58,10.0,24,19.0,7,34,9.0,42,262,5,341.0,26,12.0,56.0,429,659,103,71,29,4,790322,,,
62,348,655,23,58,10.0,24,19.0,7,34,9.0,42,262,5,341.0,26,12.0,56.0,429,659,103,71,29,4,790322,,,
63,328,301,1,10,15.0,118,5.0,4,17,11.0,74,35,243,21.0,73,15.0,162.0,27,5,29,153,59,286,790322,,,
