id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
8,146,448,3,59,10.0,24,11.0,3,23,1.0,15,147,2,191.0,20,20.0,51.0,233,341,12,27,12,0,788406,,,
11,181,1402,17,42,27.0,72,44.0,17,69,15.0,30,163,758,125.0,25,26.0,44.0,259,199,190,1205,26,15,788406,,,
12,140,512,3,77,5.0,16,15.0,3,14,2.0,6,46,0,166.0,15,9.0,34.0,232,410,28,59,1,2,788406,,,
13,182,442,1,11,3.0,13,19.0,3,13,4.0,10,27,0,202.0,25,21.0,77.0,274,346,12,78,4,3,788406,,,
16,183,225,4,10,16.0,127,10.0,19,13,22.0,6,9,1,49.0,13,13.0,30.0,43,1,10,58,3,2,788406,,,
18,144,395,8,62,10.0,25,13.0,6,20,5.0,6,65,1,165.0,15,15.0,50.0,295,340,13,30,4,1,788406,,,
21,141,277,2,13,3.0,16,20.0,8,17,2.0,12,94,2,68.0,9,13.0,37.0,150,19,20,190,6,3,788406,,,
24,199,254,13,15,6.0,25,11.0,1,24,5.0,13,85,3,78.0,16,29.0,67.0,205,16,21,219,4,25,788406,,,
27,194,314,7,3,1.0,22,7.0,5,17,3.0,26,32,158,47.0,11,22.0,146.0,48,1,4,19,27,258,788406,,,
28,200,439,9,113,7.0,22,10.0,3,11,2.0,26,279,26,149.0,4,5.0,35.0,225,379,13,47,0,2,788406,,,
30,130,525,3,259,16.0,29,9.0,1,22,7.0,11,182,3,186.0,10,24.0,59.0,275,380,13,38,5,6,788406,,,
31,142,263,4,6,6.0,130,10.0,3,25,28.0,1,7,0,26.0,5,13.0,15.0,45,1,25,102,24,1,788406,,,
35,185,416,0,9,3.0,11,8.0,1,9,0.0,14,92,126,56.0,4,5.0,34.0,191,42,7,47,5,1,788406,,,
42,134,218,2,4,2.0,10,4.0,2,6,16.0,210,16,153,201.0,78,21.0,83.0,325,1,5,75,17,144,788406,,,
46,160,465,13,91,10.0,14,12.0,0,16,4.0,22,247,75,164.0,10,18.0,35.0,187,206,4,48,3,3,788406,,,
49,166,329,3,4,5.0,16,12.0,4,13,40.0,351,39,223,36.0,15,37.0,234.0,31,4,11,152,53,416,788406,,,
51,127,483,3,11,4.0,16,22.0,4,16,8.0,15,109,8,63.0,10,20.0,40.0,202,25,17,194,4,5,788406,,,
53,161,284,1,4,0.0,10,6.0,2,11,0.0,4,40,64,39.0,12,17.0,24.0,73,9,11,55,2,2,788406,,,
54,172,787,13,30,17.0,116,19.0,17,62,7.0,6,13,8,344.0,85,27.0,246.0,365,468,40,233,35,269,788406,,,
57,167,229,16,24,5.0,29,23.0,21,167,27.0,7,19,4,72.0,14,22.0,75.0,275,8,134,94,18,3,788406,,,
58,153,412,41,24,25.0,314,30.0,24,62,63.0,2,10,2,79.0,10,15.0,26.0,65,6,86,221,5,7,788406,,,
60,173,435,0,11,2.0,11,33.0,214,91,21.0,1,15,11,45.0,9,16.0,47.0,108,6,3,24,5,25,788406,,,
64,133,71,0,0,3.0,4,2.0,0,3,2.0,93,6,72,29.0,10,10.0,51.0,3,0,4,78,5,111,788406,,,
69,159,280,1,3,7.0,111,16.0,3,17,33.0,4,9,1,32.0,15,12.0,25.0,47,0,30,77,0,1,788406,,,
70,163,415,0,5,0.0,2,4.0,0,20,1.0,2,71,191,267.0,25,21.0,21.0,99,201,7,124,0,0,788406,,,
71,158,84,0,2,0.0,2,0.0,0,2,4.0,14,31,0,26.0,26,10.0,21.0,35,0,0,3,0,0,788406,,,
