id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
6,273,187,5,12,11.0,23,5.0,11,15,,4,24,0,,94,,26.0,44,2,7,11,9,84,767018,29.0,11.0,14.0
7,267,299,1,1,14.0,5,4.0,7,39,,18,34,207,,140,,117.0,37,5,3,24,12,140,767018,3.0,7.0,35.0
8,296,357,3,14,5.0,13,6.0,10,71,,265,29,291,,17,,49.0,56,5,4,98,20,243,767018,9.0,3.0,47.0
9,232,268,11,9,0.0,22,40.0,9,41,,33,12,203,,76,,3.0,41,3,3,19,15,198,767018,3.0,8.0,11.0
10,297,276,8,6,5.0,44,43.0,9,24,,2,16,2,,152,,34.0,42,4,1,17,9,155,767018,35.0,10.0,20.0
11,261,585,0,100,22.0,17,19.0,13,31,,24,81,6,,35,,2.0,398,470,9,76,169,5,767018,35.0,40.0,26.0
12,286,336,10,19,30.0,37,2.0,11,88,,273,82,306,,18,,98.0,122,104,4,121,30,322,767018,11.0,4.0,11.0
13,292,393,2,29,3.0,12,9.0,17,33,,16,34,2,,23,,4.0,328,390,7,93,184,7,767018,9.0,26.0,17.0
14,310,316,5,18,9.0,32,3.0,12,64,,95,36,204,,12,,111.0,110,3,2,11,3,191,767018,9.0,4.0,8.0
16,303,316,4,20,9.0,55,71.0,13,22,,5,22,1,,171,,82.0,51,5,8,30,30,250,767018,10.0,10.0,36.0
18,281,305,10,25,8.0,23,8.0,9,68,,241,40,275,,113,,98.0,43,8,5,121,25,263,767018,9.0,6.0,59.0
19,282,403,9,21,11.0,70,22.0,9,19,,4,28,1,,124,,124.0,85,0,4,27,17,242,767018,6.0,6.0,46.0
20,266,263,1,15,28.0,43,7.0,11,56,,274,25,304,,92,,230.0,62,6,7,36,22,332,767018,8.0,6.0,69.0
21,283,295,5,22,21.0,66,100.0,7,41,,14,31,12,,240,,53.0,61,4,7,29,12,240,767018,42.0,14.0,36.0
22,325,516,6,30,10.0,14,22.0,17,64,,25,46,3,,20,,9.0,414,395,8,71,247,10,767018,15.0,34.0,34.0
23,293,269,2,16,15.0,77,112.0,15,36,,1,32,4,,197,,53.0,28,0,7,25,28,296,767018,22.0,10.0,22.0
24,291,591,1,26,8.0,12,23.0,19,46,,31,54,16,,25,,7.0,544,631,10,139,408,8,767018,9.0,51.0,40.0
25,277,491,14,24,19.0,14,28.0,32,47,,40,41,3,,25,,7.0,459,463,5,86,203,1,767018,19.0,57.0,35.0
26,274,293,6,15,14.0,21,9.0,13,45,,86,31,241,,19,,56.0,93,13,3,16,15,181,767018,11.0,4.0,16.0
29,288,232,7,13,11.0,18,6.0,2,30,,22,40,82,,13,,89.0,51,1,3,10,16,149,767018,7.0,8.0,32.0
30,225,312,9,34,21.0,25,21.0,33,62,,112,49,270,,31,,215.0,50,11,5,21,32,259,767018,9.0,12.0,55.0
31,300,485,8,23,18.0,17,27.0,23,40,,14,61,93,,34,,5.0,303,294,9,125,159,6,767018,15.0,40.0,57.0
33,250,288,3,23,19.0,38,11.0,23,61,,226,31,236,,92,,146.0,49,7,5,136,42,293,767018,5.0,12.0,35.0
34,304,261,9,52,19.0,33,16.0,175,388,,14,42,6,,57,,8.0,185,23,21,52,30,6,767018,35.0,26.0,12.0
35,321,221,15,14,4.0,136,43.0,20,49,,118,26,189,,128,,2.0,66,291,5,65,83,293,767018,5.0,18.0,20.0
37,279,341,5,18,14.0,63,62.0,17,33,,8,42,115,,22,,25.0,59,1,4,13,10,148,767018,40.0,33.0,19.0
38,251,587,5,41,138.0,18,30.0,46,207,,22,312,3,,147,,17.0,322,241,98,103,674,91,767018,23.0,36.0,18.0
39,305,281,29,13,10.0,72,18.0,12,50,,86,29,201,,146,,3.0,54,168,0,37,49,234,767018,12.0,13.0,14.0
41,313,421,38,58,27.0,47,35.0,212,312,,9,81,10,,59,,20.0,209,36,379,136,36,16,767018,51.0,15.0,22.0
42,295,474,15,23,4.0,24,26.0,12,43,,35,25,27,,27,,1.0,307,516,3,137,245,31,767018,13.0,69.0,30.0
43,301,260,14,13,22.0,34,17.0,24,28,,9,36,49,,86,,143.0,69,4,7,18,12,142,767018,7.0,12.0,38.0
44,269,250,3,9,14.0,70,67.0,26,54,,16,34,170,,124,,2.0,33,4,6,16,20,154,767018,7.0,10.0,16.0
45,314,383,13,15,20.0,169,134.0,18,24,,4,43,5,,224,,75.0,26,3,3,26,17,215,767018,9.0,8.0,45.0
46,307,267,0,4,10.0,33,5.0,6,40,,72,31,191,,108,,0.0,75,31,2,18,20,222,767018,6.0,6.0,16.0
47,284,328,18,9,10.0,66,17.0,16,26,,5,20,4,,126,,91.0,69,3,8,32,18,177,767018,44.0,10.0,24.0
48,317,523,17,7,1.0,14,9.0,10,28,,19,26,1,,12,,1.0,326,406,2,86,77,2,767018,11.0,51.0,12.0
49,315,480,52,50,7.0,57,18.0,210,352,,24,42,8,,20,,4.0,177,8,98,72,8,5,767018,61.0,18.0,9.0
51,258,535,9,14,4.0,54,26.0,19,98,,194,39,424,,152,,102.0,104,83,4,65,49,433,767018,7.0,11.0,49.0
52,275,599,6,75,38.0,37,12.0,41,482,,234,107,289,,286,,112.0,239,189,83,150,537,313,767018,60.0,32.0,41.0
53,255,255,6,17,15.0,19,5.0,14,54,,8,24,43,,56,,145.0,41,2,9,20,15,140,767018,9.0,4.0,27.0
54,259,211,3,19,18.0,18,3.0,7,61,,206,27,267,,77,,188.0,67,5,9,95,20,284,767018,4.0,6.0,26.0
55,302,186,0,6,13.0,21,0.0,18,32,,103,14,218,,13,,53.0,60,12,5,51,18,213,767018,3.0,2.0,13.0
56,260,203,2,4,8.0,8,0.0,5,18,,6,16,94,,59,,123.0,62,2,3,11,20,217,767018,5.0,1.0,25.0
57,246,183,0,6,16.0,4,1.0,2,20,,1,10,37,,9,,173.0,31,0,3,8,16,161,767018,4.0,0.0,16.0
59,308,157,4,20,12.0,71,45.0,19,26,,21,19,84,,121,,83.0,21,4,5,22,17,141,767018,7.0,8.0,21.0
60,280,212,2,6,14.0,21,7.0,11,38,,81,18,203,,127,,106.0,27,3,1,20,14,225,767018,4.0,3.0,23.0
61,272,478,0,23,18.0,10,5.0,10,41,,19,64,7,,30,,3.0,406,544,3,110,279,7,767018,20.0,45.0,24.0
