id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
4,395,202,5,4,,29,,0,14,,1,3,3,13.0,122,8.0,,53,1,1,10,7,158,755252,,16.0,
5,348,283,4,5,,33,,22,8,,192,7,239,27.0,29,2.0,,116,3,4,73,17,272,755252,,5.0,
6,366,139,2,12,,51,,1,16,,1,1,108,11.0,105,3.0,,28,0,2,21,12,229,755252,,6.0,
7,370,309,0,9,,25,,41,89,,5,7,5,26.0,4,2.0,,153,18,187,38,4,6,755252,,10.0,
9,330,459,0,127,,19,,0,15,,0,440,2,152.0,82,2.0,,390,560,2,29,9,1,755252,,56.0,
10,363,204,5,11,,74,,91,25,,5,10,3,49.0,12,5.0,,159,14,221,43,11,1,755252,,31.0,
12,331,199,17,10,,30,,9,14,,31,6,219,25.0,135,1.0,,59,1,3,39,4,214,755252,,4.0,
13,320,255,48,12,,40,,11,18,,138,9,279,25.0,50,4.0,,74,0,6,78,20,262,755252,,2.0,
14,336,221,26,8,,24,,4,14,,9,11,214,26.0,15,4.0,,100,167,3,61,12,213,755252,,9.0,
15,371,171,10,3,,12,,4,20,,17,2,91,22.0,84,2.0,,67,2,6,18,7,168,755252,,20.0,
16,335,228,4,9,,23,,9,12,,98,7,255,27.0,98,4.0,,50,3,3,87,14,290,755252,,5.0,
18,339,326,20,3,,30,,77,31,,3,18,10,87.0,6,11.0,,166,4,332,141,5,6,755252,,33.0,
26,376,219,4,17,,35,,4,15,,48,9,228,20.0,104,2.0,,153,3,7,19,18,251,755252,,8.0,
29,340,0,0,0,,0,,4,13,,0,0,0,0.0,1,0.0,,0,1,0,0,0,0,755252,,0.0,
32,313,91,222,11,,15,,5,97,,8,9,7,261.0,6,13.0,,13,7,2,212,21,3,755252,,7.0,
33,373,402,7,4,,34,,18,22,,187,19,278,39.0,15,5.0,,169,7,3,207,24,334,755252,,3.0,
34,353,227,24,12,,77,,2,16,,22,8,194,30.0,169,2.0,,57,0,3,23,6,255,755252,,3.0,
36,351,305,24,7,,9,,3,18,,7,103,7,123.0,60,9.0,,298,336,1,21,8,13,755252,,61.0,
37,367,206,3,7,,17,,10,310,,30,116,4,40.0,225,178.0,,169,177,5,44,486,6,755252,,77.0,
38,385,160,7,5,,36,,2,12,,20,1,194,20.0,36,5.0,,89,143,6,20,9,152,755252,,13.0,
39,387,205,40,7,,8,,10,169,,12,6,2,68.0,21,19.0,,166,75,1,63,62,5,755252,,19.0,
43,365,437,0,16,,47,,16,30,,4,6,6,61.0,5,7.0,,250,3,425,101,13,5,755252,,40.0,
48,358,189,1,7,,30,,1,16,,2,4,3,19.0,149,1.0,,64,2,0,3,10,166,755252,,14.0,
50,377,235,2,9,,16,,8,207,,46,160,8,36.0,130,63.0,,149,308,5,27,449,7,755252,,33.0,
51,324,270,6,13,,43,,3,34,,66,8,258,32.0,156,3.0,,88,3,1,22,12,231,755252,,5.0,
55,381,22,13,3,,4,,0,61,,0,5,1,111.0,4,14.0,,5,3,3,134,6,6,755252,,3.0,
58,338,145,0,1,,24,,0,4,,26,4,1,9.0,1,0.0,,89,0,0,5,7,131,755252,,2.0,
61,326,127,170,10,,19,,19,77,,27,18,64,199.0,11,10.0,,26,33,9,200,18,47,755252,,6.0,
62,328,162,0,14,,30,,7,10,,84,0,169,22.0,34,1.0,,45,0,5,21,9,157,755252,,2.0,
63,362,203,161,9,,16,,5,37,,98,4,125,161.0,12,6.0,,42,5,5,246,29,152,755252,,5.0,
64,359,137,1,2,,7,,0,7,,20,0,98,19.0,3,0.0,,62,9,3,14,7,127,755252,,1.0,
66,379,163,0,7,,47,,1,23,,0,2,6,20.0,129,3.0,,41,1,5,6,9,214,755252,,12.0,
