id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
35,349,292,9,15,8.0,50,11.0,3,9,2.0,1,10,0,16.0,3,25.0,190.0,35,0,3,20,34,228,782149,,,
38,418,219,4,1,5.0,17,4.0,2,5,15.0,64,19,154,8.0,12,2.0,2.0,16,0,2,65,37,193,782149,,,
45,395,537,6,23,11.0,32,29.0,16,21,4.0,9,70,4,173.0,6,14.0,38.0,340,618,31,49,2,1,782149,,,
47,442,310,2,6,13.0,225,9.0,7,5,5.0,93,38,291,7.0,2,5.0,12.0,72,242,9,17,22,319,782149,,,
59,419,207,1,11,3.0,18,16.0,4,11,8.0,1,4,0,68.0,8,5.0,21.0,144,265,11,14,4,1,782149,,,
65,444,404,3,8,3.0,159,10.0,3,11,1.0,0,1,3,10.0,150,8.0,187.0,56,0,3,5,15,184,782149,,,
67,430,242,10,10,3.0,103,80.0,5,17,1.0,7,0,3,20.0,64,12.0,53.0,38,0,1,10,16,182,782149,,,
69,462,420,13,9,4.0,33,22.0,11,18,6.0,4,7,1,145.0,3,4.0,29.0,201,489,26,86,4,0,782149,,,
75,426,249,1,6,7.0,91,11.0,6,11,3.0,38,0,0,4.0,0,19.0,201.0,29,3,1,4,11,119,782149,,,
78,459,343,9,10,7.0,176,162.0,6,17,5.0,12,29,1,22.0,164,9.0,71.0,53,0,2,4,2,102,782149,,,
80,335,290,4,11,3.0,22,7.0,3,9,3.0,1,13,1,10.0,4,29.0,239.0,36,1,2,17,13,121,782149,,,
