id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
5,190,179,4,24,4.0,40,37.0,6,234,38.0,23,128,9,34.0,128,224.0,82.0,124,74,21,81,524,8,782149,,,
6,172,564,5,20,8.0,41,29.0,12,16,4.0,13,150,9,36.0,14,22.0,30.0,192,5,33,200,3,3,782149,,,
7,191,523,1,21,6.0,42,30.0,4,24,8.0,19,76,2,20.0,6,16.0,20.0,168,4,25,187,5,5,782149,,,
12,118,367,8,77,8.0,32,33.0,7,22,7.0,10,115,113,64.0,5,9.0,18.0,140,71,25,13,6,1,782149,,,
13,197,435,5,33,7.0,22,25.0,6,11,15.0,35,170,99,24.0,137,24.0,122.0,158,5,12,24,8,2,782149,,,
14,186,396,2,54,10.0,46,38.0,12,27,9.0,20,191,78,105.0,18,24.0,29.0,134,31,26,77,5,8,782149,,,
15,196,501,12,22,6.0,46,32.0,13,28,4.0,10,41,4,171.0,12,20.0,51.0,294,352,31,104,3,1,782149,,,
17,131,439,3,117,20.0,55,43.0,9,13,14.0,25,170,3,146.0,12,17.0,25.0,185,139,20,45,0,3,782149,,,
19,145,381,7,99,12.0,77,63.0,15,18,13.0,46,276,146,88.0,22,23.0,40.0,235,14,28,102,4,5,782149,,,
23,162,649,6,30,2.0,52,44.0,11,33,8.0,9,41,7,148.0,19,19.0,51.0,273,254,36,180,1,4,782149,,,
25,173,493,10,43,9.0,45,48.0,15,26,8.0,13,210,3,39.0,5,20.0,24.0,218,15,16,169,2,3,782149,,,
26,177,478,4,23,9.0,42,33.0,6,26,12.0,11,86,149,53.0,12,22.0,19.0,123,41,14,29,3,2,782149,,,
27,139,366,4,49,11.0,73,57.0,10,34,21.0,24,228,196,129.0,19,40.0,25.0,174,63,19,46,3,7,782149,,,
33,150,323,0,12,7.0,32,21.0,2,18,1.0,17,85,0,35.0,2,3.0,17.0,139,30,26,212,5,4,782149,,,
34,192,428,1,146,13.0,30,16.0,1,13,2.0,11,198,100,37.0,6,13.0,34.0,255,49,16,31,3,3,782149,,,
38,135,309,5,43,5.0,23,28.0,3,19,5.0,17,163,5,86.0,3,9.0,18.0,145,222,34,54,6,3,782149,,,
42,136,617,1,59,15.0,53,38.0,11,21,6.0,35,190,6,127.0,7,19.0,28.0,236,427,41,74,2,3,782149,,,
47,184,348,7,47,8.0,53,51.0,19,25,31.0,97,114,517,19.0,3,16.0,27.0,147,160,90,464,72,471,782149,,,
50,174,276,10,26,7.0,50,43.0,15,39,10.0,8,47,7,152.0,17,26.0,31.0,222,323,52,40,6,1,782149,,,
51,169,452,11,51,15.0,81,60.0,17,37,7.0,22,144,5,66.0,19,38.0,47.0,181,9,43,257,12,2,782149,,,
52,153,389,4,36,9.0,49,37.0,14,23,13.0,87,61,344,27.0,9,15.0,15.0,89,5,70,271,46,441,782149,,,
54,106,1308,4,106,17.0,135,94.0,28,73,13.0,49,457,197,160.0,32,64.0,80.0,344,139,76,261,29,44,782149,,,
57,194,448,45,44,15.0,72,61.0,20,39,12.0,29,220,10,45.0,6,27.0,28.0,125,20,56,270,16,15,782149,,,
62,188,373,4,13,11.0,25,27.0,12,15,22.0,237,22,83,9.0,11,33.0,190.0,31,10,13,14,21,212,782149,,,
66,164,613,26,57,32.0,144,107.0,33,120,42.0,40,396,22,55.0,23,40.0,61.0,262,9,46,73,16,7,782149,,,
68,170,470,21,60,20.0,108,64.0,11,53,35.0,46,96,311,46.0,10,28.0,27.0,103,25,70,419,69,384,782149,,,
69,148,702,37,57,19.0,112,78.0,26,43,26.0,18,297,40,66.0,21,45.0,54.0,238,11,43,205,18,3,782149,,,
71,171,362,4,29,8.0,45,33.0,13,24,35.0,285,31,223,21.0,22,37.0,298.0,30,4,21,64,39,337,782149,,,
72,165,402,22,40,23.0,95,70.0,15,40,24.0,73,110,17,31.0,225,37.0,329.0,132,7,21,32,4,9,782149,,,
76,160,433,10,206,17.0,82,45.0,12,27,15.0,6,111,6,184.0,9,36.0,24.0,215,251,16,24,4,1,782149,,,
