id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
3,365,204,1,11,5.0,54,7.0,4,6,1.0,1,6,0,3.0,2,9.0,77.0,25,3,1,4,12,117,782149,,,
5,342,638,0,23,14.0,63,26.0,16,12,2.0,7,70,2,48.0,1,7.0,21.0,255,267,4,39,2,0,782149,,,
9,396,646,30,30,52.0,67,47.0,9,355,55.0,42,293,4,70.0,234,362.0,134.0,258,284,17,180,892,40,782149,,,
10,383,704,12,16,8.0,38,16.0,4,17,3.0,4,4,2,144.0,16,6.0,44.0,370,502,27,190,4,0,782149,,,
11,361,394,2,19,5.0,46,20.0,9,10,56.0,383,67,339,16.0,2,16.0,99.0,69,109,58,384,59,435,782149,,,
12,397,324,7,14,6.0,22,15.0,6,174,61.0,7,22,1,18.0,4,9.0,27.0,106,28,1,7,37,0,782149,,,
13,404,560,6,29,6.0,66,14.0,3,11,1.0,17,208,270,168.0,3,10.0,13.0,149,571,4,49,0,0,782149,,,
14,388,125,2,7,4.0,29,25.0,2,8,1.0,11,14,59,11.0,50,3.0,12.0,13,3,0,5,10,74,782149,,,
16,382,309,10,28,10.0,45,34.0,5,260,35.0,27,123,5,33.0,103,22.0,56.0,225,249,19,82,534,26,782149,,,
17,310,228,7,15,13.0,100,92.0,22,26,13.0,10,21,96,23.0,61,13.0,39.0,36,3,16,31,31,180,782149,,,
22,386,647,24,37,14.0,62,34.0,8,28,7.0,10,14,4,148.0,14,14.0,55.0,396,574,17,233,6,2,782149,,,
24,389,420,5,25,7.0,59,41.0,75,305,53.0,10,4,1,25.0,7,13.0,35.0,184,20,147,51,7,0,782149,,,
26,356,310,8,8,7.0,102,53.0,14,10,13.0,65,26,230,20.0,68,11.0,34.0,53,0,4,24,20,213,782149,,,
27,353,732,19,52,16.0,208,71.0,248,27,58.0,7,22,5,45.0,8,27.0,41.0,203,33,446,84,9,1,782149,,,
31,306,402,0,9,2.0,21,14.0,2,20,35.0,281,25,212,14.0,0,34.0,165.0,41,1,3,62,39,328,782149,,,
36,380,197,0,3,1.0,13,11.0,0,6,5.0,25,7,62,13.0,79,0.0,8.0,9,0,0,5,6,89,782149,,,
37,328,395,10,21,9.0,94,24.0,11,17,59.0,291,37,278,18.0,125,39.0,245.0,27,1,10,59,30,280,782149,,,
38,358,325,38,33,19.0,65,52.0,119,29,56.0,9,25,2,62.0,6,11.0,12.0,78,4,170,86,2,2,782149,,,
41,302,324,348,54,15.0,91,41.0,13,208,19.0,17,32,2,179.0,10,39.0,158.0,26,4,30,208,15,121,782149,,,
42,349,292,9,15,8.0,50,11.0,3,9,2.0,1,10,0,16.0,3,25.0,190.0,35,0,3,20,34,228,782149,,,
44,366,84,0,7,4.0,46,5.0,3,13,6.0,44,15,77,7.0,3,7.0,39.0,24,3,4,9,16,86,782149,,,
45,347,370,4,8,2.0,14,11.0,1,22,5.0,8,23,2,149.0,0,1.0,13.0,186,371,51,28,5,2,782149,,,
46,315,303,1,9,4.0,25,8.0,2,16,4.0,1,7,1,10.0,14,38.0,167.0,26,2,1,5,28,160,782149,,,
47,303,221,350,24,5.0,45,21.0,7,103,6.0,4,14,0,127.0,3,10.0,31.0,15,4,38,258,12,47,782149,,,
48,393,164,0,13,7.0,18,17.0,1,8,26.0,151,10,104,19.0,10,11.0,13.0,32,3,7,29,24,141,782149,,,
49,381,294,2,4,4.0,24,8.0,0,3,1.0,1,8,0,4.0,11,12.0,141.0,27,0,1,12,14,143,782149,,,
50,375,397,2,8,3.0,16,15.0,2,12,1.0,1,1,0,122.0,8,4.0,32.0,251,402,16,89,0,5,782149,,,
51,395,537,6,23,11.0,32,29.0,16,21,4.0,9,70,4,173.0,6,14.0,38.0,340,618,31,49,2,1,782149,,,
55,363,397,0,16,5.0,31,25.0,6,22,58.0,386,41,264,14.0,1,30.0,348.0,36,2,33,234,82,418,782149,,,
56,364,342,299,26,24.0,84,49.0,23,183,37.0,121,44,9,202.0,44,34.0,199.0,64,7,39,309,29,178,782149,,,
57,359,470,383,40,16.0,68,68.0,24,537,82.0,21,29,6,229.0,18,85.0,62.0,126,104,35,299,170,9,782149,,,
58,367,282,3,10,7.0,62,9.0,7,8,10.0,145,6,0,5.0,1,11.0,43.0,83,2,4,23,15,172,782149,,,
62,344,385,2,27,3.0,43,41.0,76,141,40.0,4,14,2,36.0,5,37.0,48.0,160,19,415,58,20,7,782149,,,
63,371,493,20,45,23.0,78,62.0,277,118,101.0,11,21,4,100.0,15,56.0,65.0,205,147,457,143,69,12,782149,,,
66,332,466,1,13,10.0,221,11.0,11,12,11.0,173,44,274,23.0,211,42.0,381.0,47,3,7,10,62,414,782149,,,
68,319,198,5,9,11.0,59,89.0,7,13,7.0,24,26,159,12.0,50,7.0,22.0,26,1,7,11,22,188,782149,,,
69,372,359,24,24,10.0,37,25.0,10,35,7.0,10,46,1,163.0,8,12.0,23.0,230,360,39,53,9,4,782149,,,
73,384,301,3,10,10.0,44,28.0,4,19,31.0,296,36,216,22.0,6,11.0,24.0,47,3,9,141,38,342,782149,,,
74,376,270,20,25,8.0,44,34.0,12,242,27.0,17,91,1,38.0,113,114.0,61.0,160,146,4,83,364,2,782149,,,
75,390,442,11,15,17.0,182,24.0,44,17,17.0,262,34,320,19.0,132,10.0,47.0,92,310,5,15,56,411,782149,,,
