id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
14,72,608,1,15,1.0,21,17.0,4,28,0.0,29,316,1,43.0,4,10.0,31.0,175,7,13,272,4,1,790322,,,
25,69,464,7,32,4.0,42,41.0,6,61,12.0,60,444,215,103.0,8,29.0,81.0,305,15,64,479,35,7,790322,,,
32,81,623,4,25,4.0,30,27.0,5,47,6.0,36,458,234,124.0,10,32.0,65.0,265,11,33,274,19,4,790322,,,
35,74,538,6,15,2.0,25,30.0,10,31,2.0,5,36,5,170.0,5,9.0,44.0,423,511,23,170,9,4,790322,,,
40,87,506,0,79,12.0,18,11.0,6,22,4.0,25,219,160,174.0,7,13.0,30.0,149,290,23,160,4,5,790322,,,
