id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
4,506,663,12,21,11.0,74,32.0,9,21,39.0,15,16,4,53.0,9,15.0,37.0,134,49,461,94,30,9,788406,,,
5,480,381,221,18,11.0,39,20.0,12,50,24.0,52,62,6,94.0,71,39.0,246.0,115,7,35,236,16,6,788406,,,
6,522,277,15,18,2.0,11,5.0,1,3,3.0,55,5,0,76.0,96,23.0,123.0,113,1,3,20,7,1,788406,,,
7,486,759,12,49,21.0,115,49.0,31,29,19.0,8,37,9,55.0,22,18.0,52.0,161,49,540,90,134,14,788406,,,
8,481,281,12,13,21.0,152,24.0,49,10,4.0,6,21,114,50.0,196,9.0,129.0,64,9,28,70,24,270,788406,,,
9,477,428,7,25,16.0,98,21.0,13,28,47.0,4,10,1,54.0,6,17.0,11.0,98,71,504,82,37,4,788406,,,
10,510,731,18,21,23.0,146,37.0,33,29,34.0,6,22,5,55.0,15,18.0,32.0,127,54,451,96,78,3,788406,,,
11,467,264,7,9,9.0,117,37.0,28,11,8.0,2,5,1,61.0,160,14.0,116.0,47,1,12,44,21,203,788406,,,
12,494,780,48,41,16.0,145,34.0,15,21,8.0,3,8,2,55.0,12,14.0,18.0,101,63,496,102,16,5,788406,,,
13,502,643,19,43,22.0,135,52.0,31,29,25.0,22,30,5,43.0,14,25.0,57.0,113,45,554,92,60,10,788406,,,
15,527,474,0,11,3.0,25,9.0,2,9,17.0,1,7,0,80.0,20,21.0,18.0,76,42,389,67,3,0,788406,,,
17,466,293,2,9,8.0,114,11.0,8,7,5.0,18,18,167,128.0,184,6.0,116.0,32,6,7,23,15,194,788406,,,
19,523,54,0,2,0.0,6,3.0,0,180,16.0,6,4,0,31.0,11,33.0,65.0,196,24,6,27,45,0,788406,,,
21,462,504,6,17,1.0,49,16.0,5,18,9.0,5,9,6,40.0,6,6.0,20.0,110,7,337,53,4,1,788406,,,
22,524,702,24,19,5.0,64,12.0,6,22,14.0,4,15,4,43.0,9,13.0,26.0,82,21,423,86,12,7,788406,,,
23,491,614,34,25,9.0,62,19.0,6,40,28.0,12,21,5,50.0,9,15.0,22.0,98,31,376,112,16,6,788406,,,
