id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
8,641,344,29,24,17.0,90,48.0,158,28,58.0,13,39,3,0.0,0,0.0,0.0,0,74,440,175,69,8,788406,,,
9,625,540,26,24,16.0,116,26.0,18,29,26.0,5,24,7,0.0,0,0.0,0.0,0,38,333,56,46,11,788406,,,
12,587,698,7,31,20.0,158,24.0,67,25,32.0,12,33,1,0.0,0,0.0,0.0,0,54,406,58,72,5,788406,,,
14,591,856,14,31,25.0,78,44.0,19,24,25.0,10,25,9,0.0,0,0.0,0.0,0,84,543,130,41,3,788406,,,
16,618,593,17,19,12.0,54,29.0,15,26,27.0,6,9,3,0.0,0,0.0,0.0,0,39,327,65,90,7,788406,,,
17,559,637,18,30,33.0,141,32.0,33,30,27.0,3,51,2,0.0,0,0.0,0.0,0,41,388,58,91,7,788406,,,
18,626,528,26,21,15.0,90,19.0,48,29,29.0,4,15,2,0.0,0,0.0,0.0,0,39,418,120,14,5,788406,,,
20,597,378,15,9,8.0,43,6.0,4,8,5.0,4,12,0,0.0,0,0.0,0.0,0,10,189,34,2,1,788406,,,
21,579,548,15,24,7.0,59,18.0,11,19,14.0,4,15,2,0.0,0,0.0,0.0,0,33,271,71,12,2,788406,,,
23,560,566,9,15,12.0,86,24.0,14,15,10.0,7,22,1,0.0,0,0.0,0.0,0,27,293,91,49,3,788406,,,
24,588,631,19,22,20.0,109,23.0,126,20,31.0,5,12,2,0.0,0,0.0,0.0,0,35,306,96,27,1,788406,,,
27,619,273,43,16,12.0,127,15.0,3,20,34.0,2,2,0,0.0,0,0.0,0.0,0,34,566,136,2,1,788406,,,
30,616,431,200,15,4.0,34,14.0,1,34,14.0,5,27,7,0.0,0,0.0,0.0,0,21,163,146,5,3,788406,,,
31,604,391,30,12,3.0,38,10.0,1,10,7.0,7,34,4,0.0,0,0.0,0.0,0,11,273,54,4,3,788406,,,
33,593,604,64,14,2.0,44,11.0,0,24,4.0,8,49,2,0.0,0,0.0,0.0,0,11,280,79,5,2,788406,,,
34,568,579,7,16,8.0,41,13.0,3,17,10.0,7,19,2,0.0,0,0.0,0.0,0,29,390,34,9,6,788406,,,
35,589,493,24,23,4.0,48,43.0,152,25,47.0,15,19,4,0.0,0,0.0,0.0,0,33,395,104,25,2,788406,,,
36,580,578,325,41,15.0,86,33.0,68,36,45.0,14,46,7,0.0,0,0.0,0.0,0,37,428,218,39,7,788406,,,
37,624,784,28,35,15.0,113,39.0,35,41,51.0,22,22,15,0.0,0,0.0,0.0,0,62,586,185,79,3,788406,,,
38,605,592,21,24,11.0,82,19.0,10,20,25.0,15,25,7,0.0,0,0.0,0.0,0,37,477,96,35,2,788406,,,
