id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
2,331,343,31,14,,54,,11,28,,4,4,153,40.0,17,21.0,,154,260,12,69,15,68,767022,,18.0,
3,376,266,0,10,,60,,14,14,,105,5,323,24.0,56,21.0,,69,166,6,33,23,304,767022,,3.0,
8,387,330,5,16,,28,,188,217,,4,210,6,55.0,29,31.0,,228,272,24,75,1,6,767022,,24.0,
10,355,412,1,46,,7,,4,9,,4,255,5,90.0,43,35.0,,342,402,4,28,3,5,767022,,19.0,
11,284,146,18,4,,29,,10,15,,59,6,156,29.0,61,19.0,,47,2,3,46,9,138,767022,,9.0,
14,332,246,7,4,,10,,6,8,,37,1,41,20.0,3,9.0,,117,4,0,13,19,229,767022,,3.0,
15,396,419,3,0,,0,,6,24,,2,0,0,0.0,70,0.0,,316,480,0,0,3,1,767022,,0.0,
16,317,191,8,2,,24,,6,23,,0,1,2,23.0,134,11.0,,64,4,7,29,5,141,767022,,4.0,
17,333,349,8,9,,1,,3,12,,0,3,4,119.0,41,20.0,,285,339,2,30,1,0,767022,,21.0,
19,362,84,282,24,,25,,25,175,,3,10,12,175.0,24,54.0,,31,6,12,160,50,8,767022,,30.0,
20,342,257,0,13,,19,,11,6,,30,4,69,14.0,2,4.0,,104,13,0,17,20,238,767022,,1.0,
21,329,309,0,12,,77,,0,36,,3,2,0,16.0,130,18.0,,58,0,3,32,18,292,767022,,9.0,
22,371,295,14,29,,52,,178,95,,14,152,14,75.0,33,68.0,,213,138,123,74,14,15,767022,,26.0,
23,339,196,1,5,,3,,7,9,,31,33,1,13.0,9,12.0,,136,1,0,7,1,3,767022,,6.0,
24,336,357,17,9,,86,,35,34,,194,15,438,30.0,6,13.0,,100,8,7,294,65,444,767022,,4.0,
25,379,256,0,7,,4,,5,174,,2,71,3,30.0,172,28.0,,162,98,4,23,381,2,767022,,18.0,
27,378,636,19,93,,35,,9,22,,5,343,11,99.0,70,12.0,,368,637,9,23,4,8,767022,,18.0,
28,370,480,13,20,,9,,14,29,,7,123,10,140.0,86,25.0,,432,566,7,49,4,9,767022,,36.0,
30,377,364,0,12,,34,,20,25,,87,0,221,20.0,22,9.0,,163,1,5,31,35,433,767022,,9.0,
31,372,2,0,0,,0,,0,3,,0,0,0,2.0,1,0.0,,7,0,6,0,0,0,767022,,1.0,
33,391,235,63,23,,33,,54,48,,186,8,204,64.0,108,53.0,,103,9,11,139,21,297,767022,,14.0,
34,389,180,7,5,,33,,9,27,,10,9,159,15.0,13,10.0,,38,59,3,18,7,151,767022,,5.0,
38,319,566,2,18,,29,,9,25,,2,453,14,115.0,93,36.0,,428,668,10,67,3,2,767022,,20.0,
40,383,298,3,10,,65,,7,34,,0,2,3,13.0,122,25.0,,92,3,0,26,18,279,767022,,14.0,
41,403,200,3,14,,11,,18,144,,3,26,6,52.0,179,39.0,,163,77,8,65,288,3,767022,,40.0,
