id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
4,170,222,3,14,0.0,29,20.0,2,12,,4,7,0,,72,,22.0,42,0,2,9,3,109,767018,23.0,2.0,9.0
5,232,268,11,9,0.0,22,40.0,9,41,,33,12,203,,76,,3.0,41,3,3,19,15,198,767018,3.0,8.0,11.0
6,242,160,15,16,13.0,24,7.0,226,107,,4,24,1,,21,,2.0,112,8,11,46,15,3,767018,91.0,18.0,1.0
8,234,298,1,5,12.0,9,1.0,6,31,,4,44,110,,37,,118.0,56,4,4,19,8,169,767018,9.0,2.0,13.0
9,183,232,6,13,14.0,15,7.0,7,54,,91,19,169,,13,,119.0,49,1,2,21,16,212,767018,7.0,6.0,27.0
10,155,357,3,15,1.0,11,14.0,13,75,,116,36,407,,55,,3.0,63,6,8,244,21,380,767018,3.0,4.0,38.0
11,235,395,2,48,97.0,21,7.0,12,68,,28,317,355,,46,,5.0,355,347,0,81,88,1,767018,22.0,38.0,19.0
12,188,273,5,21,16.0,7,3.0,10,85,,340,43,310,,27,,147.0,56,1,3,83,25,326,767018,6.0,7.0,29.0
13,236,219,0,5,2.0,44,26.0,4,40,,69,11,212,,54,,2.0,42,0,1,9,7,212,767018,2.0,1.0,7.0
15,207,310,29,25,5.0,37,8.0,12,65,,6,26,6,,15,,46.0,67,6,4,38,25,190,767018,16.0,4.0,37.0
16,147,461,4,62,88.0,19,9.0,19,39,,42,261,5,,53,,4.0,389,506,3,77,158,4,767018,16.0,37.0,33.0
17,192,298,7,17,12.0,20,2.0,12,59,,201,19,308,,43,,132.0,25,3,6,35,21,291,767018,5.0,10.0,41.0
20,219,271,3,16,4.0,54,28.0,7,45,,18,24,182,,13,,1.0,38,1,5,16,19,119,767018,30.0,22.0,20.0
21,209,250,3,11,6.0,15,14.0,11,48,,39,24,226,,20,,6.0,46,2,4,15,8,95,767018,6.0,6.0,10.0
22,243,279,6,19,18.0,96,10.0,19,70,,90,39,291,,211,,177.0,48,3,8,45,26,284,767018,9.0,9.0,49.0
23,193,232,1,18,20.0,11,8.0,12,26,,2,34,3,,16,,57.0,67,3,1,14,11,98,767018,5.0,8.0,26.0
24,224,375,2,28,47.0,13,3.0,21,66,,10,159,386,,31,,6.0,252,82,6,95,31,2,767018,56.0,20.0,40.0
25,194,252,0,16,3.0,42,26.0,7,21,,2,34,118,,80,,5.0,46,1,4,12,8,178,767018,32.0,16.0,13.0
26,252,368,11,51,13.0,46,14.0,19,68,,10,44,8,,32,,3.0,149,18,157,81,23,17,767018,11.0,12.0,2.0
27,203,277,4,10,2.0,10,5.0,8,61,,177,21,273,,77,,12.0,46,3,4,66,32,246,767018,2.0,4.0,26.0
28,211,276,1,11,7.0,47,102.0,7,27,,4,25,72,,87,,8.0,28,0,6,10,21,190,767018,25.0,14.0,13.0
29,249,271,2,18,49.0,8,8.0,8,75,,205,143,163,,143,,269.0,146,4,4,23,9,6,767018,39.0,10.0,16.0
30,173,233,15,16,7.0,26,9.0,12,70,,148,34,156,,17,,21.0,53,3,2,43,12,117,767018,1.0,5.0,31.0
31,174,171,0,8,5.0,15,3.0,7,17,,45,8,130,,6,,49.0,40,3,1,25,13,132,767018,3.0,3.0,16.0
32,225,312,9,34,21.0,25,21.0,33,62,,112,49,270,,31,,215.0,50,11,5,21,32,259,767018,9.0,12.0,55.0
34,199,245,3,7,13.0,20,6.0,18,26,,13,40,114,,16,,2.0,54,0,2,17,7,88,767018,13.0,16.0,15.0
37,215,367,2,14,38.0,9,10.0,13,84,,273,105,305,,210,,338.0,131,4,5,33,27,157,767018,61.0,13.0,29.0
39,185,325,8,11,14.0,103,9.0,9,86,,156,36,333,,229,,141.0,32,4,0,73,34,243,767018,12.0,11.0,33.0
40,220,629,1,22,18.0,19,17.0,15,23,,23,70,9,,23,,4.0,402,504,11,114,307,5,767018,19.0,43.0,30.0
41,216,496,22,27,6.0,22,27.0,18,40,,28,47,3,,20,,4.0,396,507,8,95,276,5,767018,11.0,52.0,48.0
42,254,167,11,27,9.0,31,16.0,19,293,,5,47,1,,28,,5.0,92,55,5,49,69,2,767018,70.0,32.0,2.0
43,189,248,6,11,25.0,18,7.0,19,61,,205,23,199,,6,,125.0,38,3,5,14,32,309,767018,8.0,6.0,34.0
44,175,274,9,9,14.0,75,67.0,12,19,,3,27,61,,31,,36.0,50,0,2,17,16,149,767018,17.0,16.0,30.0
45,231,307,4,10,7.0,21,9.0,10,59,,135,29,225,,71,,58.0,28,1,2,88,26,257,767018,4.0,8.0,27.0
47,237,295,6,15,4.0,50,49.0,12,48,,76,29,241,,106,,0.0,43,47,1,23,15,210,767018,3.0,10.0,27.0
48,238,451,246,56,25.0,39,39.0,48,132,,20,90,10,,42,,24.0,395,496,21,235,265,20,767018,46.0,65.0,48.0
49,241,230,3,28,16.0,38,24.0,100,166,,14,49,4,,30,,2.0,136,4,114,42,2,1,767018,27.0,17.0,7.0
51,227,744,8,20,1.0,25,17.0,12,36,,31,31,7,,14,,3.0,488,501,4,212,33,1,767018,24.0,49.0,38.0
54,255,255,6,17,15.0,19,5.0,14,54,,8,24,43,,56,,145.0,41,2,9,20,15,140,767018,9.0,4.0,27.0
55,245,194,1,12,6.0,30,2.0,2,43,,76,9,195,,32,,6.0,39,83,1,46,28,165,767018,5.0,5.0,11.0
56,228,148,3,5,2.0,19,2.0,2,26,,63,22,128,,7,,1.0,57,0,5,12,9,95,767018,5.0,4.0,5.0
57,221,235,0,14,33.0,7,3.0,10,29,,32,31,16,,61,,154.0,94,4,8,27,14,163,767018,34.0,5.0,9.0
58,214,204,7,13,12.0,34,3.0,8,36,,4,12,2,,7,,83.0,61,1,3,11,12,170,767018,7.0,3.0,26.0
59,246,183,0,6,16.0,4,1.0,2,20,,1,10,37,,9,,173.0,31,0,3,8,16,161,767018,4.0,0.0,16.0
63,239,573,8,33,9.0,21,18.0,23,62,,32,36,10,,29,,12.0,587,561,10,177,371,14,767018,24.0,36.0,31.0
