id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
33,59,764,4,20,6.0,30,24.0,6,14,7.0,53,501,214,184.0,24,15.0,90.0,331,49,22,96,14,3,788406,,,
41,56,335,1,78,6.0,18,8.0,2,8,3.0,9,103,31,125.0,9,17.0,36.0,178,59,4,17,3,3,788406,,,
43,64,438,0,82,13.0,25,13.0,4,21,6.0,19,241,3,363.0,39,31.0,56.0,303,50,13,128,4,2,788406,,,
48,81,168,1,2,0.0,4,3.0,0,6,1.0,89,18,90,31.0,9,16.0,103.0,8,1,2,24,7,172,788406,,,
