id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
4,587,542,4,22,14.0,107,13.0,23,27,,9,66,3,,34,,0.0,170,19,321,63,17,2,767018,26.0,10.0,8.0
7,579,285,19,5,2.0,30,2.0,4,4,,18,6,0,,50,,1.0,87,0,3,18,6,107,767018,35.0,2.0,2.0
9,589,214,3,6,3.0,33,2.0,7,14,,25,21,9,,90,,21.0,125,2,4,17,24,194,767018,34.0,10.0,16.0
10,583,373,24,31,73.0,20,13.0,15,36,,23,148,3,,29,,5.0,246,68,130,36,539,2,767018,14.0,5.0,50.0
11,598,271,12,47,9.0,31,5.0,27,47,,11,66,4,,57,,1.0,166,14,375,53,35,3,767018,11.0,2.0,3.0
17,563,548,3,19,13.0,9,13.0,22,34,,31,41,2,,29,,3.0,441,530,15,66,299,0,767018,14.0,67.0,34.0
18,584,682,7,53,23.0,56,20.0,40,52,,12,118,15,,67,,6.0,175,28,400,93,34,6,767018,21.0,11.0,12.0
19,590,344,0,27,11.0,31,6.0,11,31,,5,39,1,,31,,0.0,132,30,339,27,32,4,767018,12.0,2.0,5.0
20,538,811,12,56,30.0,45,20.0,56,60,,14,90,6,,56,,8.0,198,31,503,58,41,8,767018,26.0,12.0,30.0
22,593,408,5,32,11.0,22,12.0,18,23,,1,70,1,,29,,3.0,95,16,202,36,11,3,767018,8.0,7.0,7.0
22,593,408,5,32,11.0,22,12.0,18,23,,1,70,1,,29,,3.0,95,16,202,36,11,3,767018,8.0,7.0,7.0
23,503,308,6,14,12.0,38,48.0,6,18,,2,38,1,,167,,25.0,70,4,14,14,19,155,767018,42.0,18.0,19.0
24,599,704,3,38,25.0,32,24.0,28,42,,10,78,7,,33,,7.0,189,35,511,44,23,5,767018,13.0,11.0,31.0
25,600,722,18,56,28.0,55,27.0,125,70,,16,109,9,,86,,2.0,246,89,493,61,61,12,767018,76.0,12.0,8.0
28,544,563,16,47,15.0,50,18.0,21,40,,18,82,7,,34,,2.0,143,7,227,39,25,0,767018,14.0,9.0,12.0
31,543,364,7,39,31.0,22,16.0,73,37,,10,92,6,,51,,5.0,143,25,174,41,29,5,767018,15.0,8.0,10.0
33,591,314,14,47,24.0,31,24.0,94,51,,18,75,10,,43,,3.0,152,18,353,63,22,1,767018,22.0,13.0,12.0
36,552,36,208,21,10.0,7,10.0,14,26,,2,35,5,,26,,3.0,19,8,6,103,15,1,767018,16.0,7.0,6.0
37,605,622,12,20,11.0,20,10.0,14,32,,19,47,1,,24,,0.0,417,522,12,113,204,4,767018,11.0,52.0,37.0
38,602,782,34,63,23.0,75,37.0,50,68,,23,102,8,,52,,6.0,209,30,434,65,23,2,767018,23.0,7.0,44.0
39,574,812,14,37,19.0,55,29.0,34,43,,9,81,5,,65,,8.0,196,37,495,57,35,5,767018,17.0,14.0,25.0
