id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
2,292,461,16,20,54.0,44,39.0,11,279,41.0,39,191,5,89.0,258,364.0,158.0,246,245,74,273,594,43,790322,,,
3,314,578,9,17,7.0,32,23.0,9,31,8.0,2,9,2,232.0,17,19.0,39.0,314,504,139,507,39,4,790322,,,
5,303,471,328,46,7.0,80,48.0,9,558,78.0,16,60,14,748.0,125,148.0,78.0,129,111,156,608,531,11,790322,,,
6,260,740,14,27,11.0,178,51.0,200,65,70.0,11,55,5,90.0,21,37.0,61.0,254,80,479,155,139,11,790322,,,
8,304,325,16,23,11.0,32,31.0,32,442,108.0,21,91,6,79.0,9,39.0,36.0,142,68,88,298,44,10,790322,,,
12,250,267,1,14,7.0,54,13.0,4,33,23.0,108,25,244,66.0,19,27.0,25.0,45,22,80,378,95,127,790322,,,
14,293,233,3,4,10.0,73,99.0,8,14,4.0,3,8,2,50.0,68,22.0,50.0,36,12,27,125,16,125,790322,,,
15,319,658,26,21,7.0,35,16.0,3,49,6.0,8,50,3,230.0,18,32.0,46.0,436,596,359,285,47,10,790322,,,
16,326,382,22,17,4.0,34,7.0,4,44,9.0,0,9,0,595.0,28,27.0,32.0,248,425,96,246,24,5,790322,,,
17,228,350,1,14,7.0,83,8.0,5,20,66.0,318,40,210,46.0,9,44.0,275.0,31,16,48,296,55,332,790322,,,
19,262,254,0,2,2.0,15,4.0,1,15,3.0,8,25,102,23.0,14,46.0,236.0,29,6,10,184,34,235,790322,,,
20,294,293,2,4,9.0,135,25.0,3,24,47.0,281,28,207,67.0,102,28.0,48.0,163,280,283,93,82,314,790322,,,
24,234,248,0,1,6.0,59,1.0,1,17,2.0,0,2,0,36.0,60,12.0,69.0,48,11,42,166,18,217,790322,,,
26,274,414,3,3,2.0,29,8.0,90,192,22.0,0,1,0,16.0,3,2.0,19.0,82,48,6,31,4,35,790322,,,
29,245,197,2,4,7.0,119,57.0,5,13,0.0,0,3,0,17.0,116,4.0,85.0,36,2,6,33,15,132,790322,,,
30,256,635,3,238,10.0,55,23.0,8,34,6.0,21,260,8,256.0,10,23.0,32.0,378,542,47,141,6,4,790322,,,
31,284,335,2,7,11.0,150,26.0,2,22,2.0,0,4,0,73.0,40,29.0,177.0,68,20,60,257,42,198,790322,,,
33,300,588,15,18,8.0,47,30.0,48,374,36.0,9,25,4,61.0,8,19.0,34.0,136,52,80,168,19,4,790322,,,
34,241,293,7,10,10.0,84,9.0,8,31,17.0,189,23,229,50.0,6,24.0,87.0,81,42,27,132,26,226,790322,,,
35,252,345,5,5,2.0,43,8.0,4,23,0.0,3,36,227,81.0,14,48.0,184.0,54,13,37,86,71,305,790322,,,
37,252,345,5,5,2.0,43,8.0,4,23,0.0,3,36,227,81.0,14,48.0,184.0,54,13,37,86,71,305,790322,,,
38,335,807,8,28,10.0,91,36.0,58,69,76.0,9,43,5,109.0,23,57.0,54.0,357,114,1050,236,110,16,790322,,,
39,301,226,9,12,7.0,110,82.0,5,37,2.0,67,24,207,588.0,75,44.0,46.0,70,42,70,368,59,184,790322,,,
41,321,933,25,43,14.0,273,41.0,61,89,100.0,8,43,14,131.0,14,36.0,42.0,264,120,958,428,264,28,790322,,,
