id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
4,368,219,33,12,,62,,6,28,,2,4,6,33.0,140,25.0,,80,4,3,35,14,154,767022,,28.0,
5,341,303,2,26,,59,,6,10,,37,5,368,18.0,124,17.0,,101,83,5,12,44,340,767022,,9.0,
6,261,170,52,30,,32,,10,43,,13,6,189,54.0,62,21.0,,67,70,9,78,25,188,767022,,19.0,
9,331,343,31,14,,54,,11,28,,4,4,153,40.0,17,21.0,,154,260,12,69,15,68,767022,,18.0,
11,376,266,0,10,,60,,14,14,,105,5,323,24.0,56,21.0,,69,166,6,33,23,304,767022,,3.0,
13,355,412,1,46,,7,,4,9,,4,255,5,90.0,43,35.0,,342,402,4,28,3,5,767022,,19.0,
14,303,224,1,6,,47,,4,4,,44,2,244,16.0,5,11.0,,64,50,2,18,14,177,767022,,5.0,
15,284,146,18,4,,29,,10,15,,59,6,156,29.0,61,19.0,,47,2,3,46,9,138,767022,,9.0,
16,332,246,7,4,,10,,6,8,,37,1,41,20.0,3,9.0,,117,4,0,13,19,229,767022,,3.0,
19,396,419,3,0,,0,,6,24,,2,0,0,0.0,70,0.0,,316,480,0,0,3,1,767022,,0.0,
20,317,191,8,2,,24,,6,23,,0,1,2,23.0,134,11.0,,64,4,7,29,5,141,767022,,4.0,
21,369,728,3,24,,67,,20,57,,36,143,773,56.0,117,29.0,,351,695,7,521,56,706,767022,,6.0,
22,362,84,282,24,,25,,25,175,,3,10,12,175.0,24,54.0,,31,6,12,160,50,8,767022,,30.0,
23,342,257,0,13,,19,,11,6,,30,4,69,14.0,2,4.0,,104,13,0,17,20,238,767022,,1.0,
24,329,309,0,12,,77,,0,36,,3,2,0,16.0,130,18.0,,58,0,3,32,18,292,767022,,9.0,
26,371,295,14,29,,52,,178,95,,14,152,14,75.0,33,68.0,,213,138,123,74,14,15,767022,,26.0,
27,339,196,1,5,,3,,7,9,,31,33,1,13.0,9,12.0,,136,1,0,7,1,3,767022,,6.0,
28,336,357,17,9,,86,,35,34,,194,15,438,30.0,6,13.0,,100,8,7,294,65,444,767022,,4.0,
29,379,256,0,7,,4,,5,174,,2,71,3,30.0,172,28.0,,162,98,4,23,381,2,767022,,18.0,
