id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
2,84,288,0,78,0.0,8,5.0,9,10,,3,26,2,,5,,1.0,108,3,4,20,0,2,767018,51.0,6.0,14.0
4,110,104,0,14,6.0,8,4.0,9,13,,2,69,1,,11,,0.0,120,2,1,88,6,1,767018,3.0,4.0,23.0
5,111,108,0,7,2.0,8,3.0,4,39,,164,2,238,,13,,35.0,12,0,3,110,20,268,767018,3.0,0.0,19.0
6,103,206,0,18,47.0,12,7.0,6,35,,9,293,177,,33,,8.0,280,6,6,47,16,4,767018,97.0,5.0,50.0
8,62,350,0,61,60.0,6,3.0,16,21,,8,249,77,,26,,7.0,206,19,1,11,2,2,767018,43.0,6.0,18.0
9,120,460,4,11,19.0,11,8.0,7,57,,276,470,146,,60,,14.0,254,23,5,23,21,3,767018,88.0,15.0,17.0
10,124,440,1,22,28.0,13,11.0,16,36,,6,236,18,,30,,9.0,213,6,8,153,9,5,767018,30.0,8.0,59.0
11,112,173,0,7,2.0,5,2.0,1,20,,24,33,1,,4,,1.0,45,2,4,57,19,179,767018,1.0,2.0,26.0
12,125,325,4,4,4.0,17,8.0,8,45,,200,21,286,,81,,17.0,46,2,4,82,31,262,767018,5.0,5.0,19.0
15,100,316,0,22,111.0,11,2.0,20,35,,4,286,184,,47,,3.0,170,3,9,56,7,3,767018,54.0,2.0,29.0
17,129,271,6,12,7.0,35,17.0,6,50,,135,37,202,,22,,27.0,30,5,4,18,17,197,767018,6.0,8.0,23.0
18,121,369,8,14,17.0,47,14.0,17,71,,247,31,312,,108,,206.0,46,2,5,24,37,387,767018,12.0,9.0,32.0
20,117,447,3,16,10.0,33,10.0,11,46,,84,45,171,,6,,117.0,96,149,10,163,38,190,767018,25.0,7.0,27.0
21,88,98,0,4,8.0,4,2.0,5,33,,159,25,130,,12,,79.0,32,2,2,8,18,176,767018,0.0,1.0,29.0
22,89,208,1,1,2.0,9,3.0,11,35,,122,26,146,,5,,66.0,22,1,3,94,9,201,767018,2.0,2.0,25.0
23,130,479,5,8,99.0,20,13.0,28,65,,5,175,212,,31,,8.0,174,22,7,157,13,11,767018,73.0,16.0,45.0
24,126,428,25,15,6.0,169,15.0,29,32,,5,36,5,,17,,7.0,86,36,20,114,36,8,767018,13.0,15.0,9.0
25,131,351,3,16,8.0,21,25.0,11,26,,13,46,1,,24,,4.0,288,5,7,115,18,5,767018,15.0,27.0,28.0
26,114,285,1,30,30.0,16,10.0,19,23,,9,145,2,,30,,2.0,209,5,4,176,3,6,767018,9.0,9.0,21.0
27,94,340,1,5,1.0,20,6.0,10,23,,117,17,140,,6,,35.0,20,2,1,100,20,293,767018,3.0,6.0,31.0
27,94,340,1,5,1.0,20,6.0,10,23,,117,17,140,,6,,35.0,20,2,1,100,20,293,767018,3.0,6.0,31.0
30,99,280,2,2,2.0,12,4.0,6,23,,86,18,156,,6,,3.0,26,0,2,119,13,208,767018,6.0,5.0,18.0
31,98,594,7,16,11.0,20,26.0,14,18,,18,49,3,,18,,4.0,413,301,2,137,15,2,767018,23.0,56.0,38.0
32,128,195,2,19,35.0,11,5.0,15,26,,5,174,9,,45,,3.0,136,5,8,155,16,43,767018,42.0,17.0,41.0
33,115,278,4,15,5.0,12,11.0,15,50,,131,31,247,,8,,0.0,77,22,5,170,17,243,767018,17.0,8.0,29.0
35,95,300,10,39,1.0,13,1.0,5,17,,0,159,47,,10,,0.0,146,168,2,38,21,0,767018,25.0,34.0,26.0
36,118,114,1,5,2.0,0,2.0,1,5,,7,86,27,,12,,0.0,50,0,2,7,0,0,767018,17.0,0.0,3.0
41,107,84,0,9,3.0,17,6.0,9,10,,2,14,0,,2,,0.0,99,3,5,177,4,3,767018,7.0,3.0,27.0
42,105,290,0,51,20.0,3,3.0,3,20,,5,151,109,,19,,0.0,142,100,4,14,35,1,767018,43.0,9.0,11.0
43,108,269,4,38,56.0,11,20.0,20,35,,13,149,7,,33,,9.0,185,7,6,135,16,4,767018,13.0,9.0,28.0
