id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
4,261,350,3,7,,1,,1,24,,1,36,0,149.0,36,5.0,,335,320,3,77,3,3,755252,,50.0,
9,237,19,1,1,,3,,0,0,,3,0,21,1.0,11,0.0,,8,1,0,0,0,17,755252,,0.0,
13,274,189,4,6,,2,,3,9,,1,33,2,19.0,96,0.0,,138,0,3,15,0,1,755252,,0.0,
16,282,37,0,1,,6,,0,5,,4,1,30,5.0,5,0.0,,10,16,0,0,5,38,755252,,1.0,
17,297,346,185,39,,64,,42,114,,17,23,17,191.0,12,12.0,,191,44,325,226,36,9,755252,,17.0,
18,230,80,278,19,,11,,11,132,,8,16,8,174.0,6,12.0,,36,5,8,238,102,10,755252,,12.0,
20,256,31,0,1,,8,,0,2,,0,0,1,1.0,3,0.0,,4,1,0,3,3,25,755252,,1.0,
21,275,209,15,21,,57,,1,15,,22,1,216,17.0,114,2.0,,71,1,1,28,22,202,755252,,3.0,
22,280,86,50,6,,11,,2,68,,3,7,3,139.0,3,7.0,,7,1,0,94,3,1,755252,,3.0,
23,276,219,9,4,,33,,3,26,,4,5,37,22.0,136,5.0,,43,1,2,17,8,234,755252,,8.0,
24,262,174,0,11,,19,,6,32,,3,3,6,34.0,77,57.0,,124,407,1,21,427,9,755252,,110.0,
26,308,222,5,8,,36,,16,13,,111,2,263,22.0,55,1.0,,120,137,4,10,19,241,755252,,5.0,
28,193,201,33,7,,8,,5,14,,6,10,5,20.0,5,2.0,,88,4,5,20,14,199,755252,,1.0,
29,219,165,19,4,,17,,3,8,,26,7,129,11.0,12,1.0,,70,1,1,12,17,169,755252,,0.0,
32,240,379,17,73,,27,,6,27,,5,284,6,186.0,92,13.0,,370,528,3,36,7,27,755252,,55.0,
34,293,365,128,18,,59,,119,71,,6,27,12,178.0,11,15.0,,187,105,99,252,13,16,755252,,15.0,
36,277,292,198,23,,30,,15,166,,74,25,258,157.0,86,5.0,,71,6,9,269,43,237,755252,,20.0,
38,286,97,261,7,,9,,6,47,,9,6,11,319.0,10,16.0,,19,10,10,247,17,12,755252,,9.0,
40,265,467,140,15,,15,,6,86,,4,16,12,213.0,35,14.0,,410,318,4,161,16,8,755252,,67.0,
42,263,164,3,6,,21,,2,6,,1,8,141,16.0,48,2.0,,73,1,0,7,11,130,755252,,29.0,
43,283,151,7,4,,8,,2,13,,1,38,95,45.0,8,2.0,,125,129,4,43,1,2,755252,,5.0,
44,246,537,29,42,,10,,2,27,,2,308,5,137.0,81,7.0,,469,441,3,30,18,25,755252,,55.0,
47,287,156,0,3,,14,,1,6,,34,0,166,9.0,1,0.0,,87,1,0,4,4,135,755252,,4.0,
48,233,187,0,5,,12,,5,4,,79,16,188,6.0,11,2.0,,59,0,0,17,4,173,755252,,2.0,
49,285,283,11,3,,26,,2,8,,3,28,2,33.0,3,5.0,,93,0,2,20,23,286,755252,,9.0,
50,278,206,0,3,,18,,1,8,,41,3,179,11.0,7,0.0,,88,2,0,6,10,193,755252,,7.0,
53,314,341,14,9,,5,,4,24,,4,35,5,155.0,65,10.0,,295,374,5,41,3,2,755252,,27.0,
55,260,77,0,3,,14,,1,3,,17,0,88,6.0,47,1.0,,29,0,1,0,3,77,755252,,1.0,
57,288,372,28,17,,58,,90,61,,11,18,17,66.0,20,10.0,,206,28,382,75,5,7,755252,,32.0,
