id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
2,449,475,0,7,,33,,4,30,,0,25,2,39.0,4,7.0,,188,3,312,50,3,5,755252,,22.0,
4,422,211,1,10,,9,,1,17,,15,32,2,15.0,64,2.0,,147,0,3,11,1,0,755252,,4.0,
5,434,240,1,7,,32,,3,20,,4,4,5,28.0,12,6.0,,89,3,191,52,5,24,755252,,13.0,
6,428,523,25,22,,47,,10,69,,9,19,9,67.0,19,12.0,,172,19,333,115,36,8,755252,,24.0,
8,424,173,3,2,,10,,0,13,,1,38,73,18.0,9,3.0,,127,59,0,21,1,2,755252,,7.0,
10,421,449,22,22,,86,,9,27,,9,168,63,111.0,55,6.0,,332,452,6,122,8,5,755252,,32.0,
11,399,244,12,22,,51,,2,26,,9,4,248,21.0,185,1.0,,77,1,4,22,12,252,755252,,2.0,
13,456,601,42,22,,38,,10,67,,7,48,11,60.0,3,5.0,,163,5,326,76,12,9,755252,,33.0,
14,436,192,0,4,,28,,9,10,,141,22,137,11.0,30,1.0,,55,239,4,159,24,255,755252,,0.0,
15,396,207,0,11,,67,,2,21,,7,5,198,23.0,148,3.0,,30,0,3,24,15,222,755252,,1.0,
16,425,526,88,68,,36,,6,49,,11,249,9,273.0,82,8.0,,499,578,13,150,16,7,755252,,53.0,
21,382,156,21,7,,43,,5,13,,6,5,3,21.0,112,4.0,,44,1,3,11,14,156,755252,,3.0,
23,437,242,58,18,,24,,8,177,,9,277,5,122.0,121,108.0,,202,89,8,102,494,7,755252,,47.0,
25,426,226,32,14,,48,,6,113,,40,10,5,112.0,123,10.0,,165,3,3,152,18,266,755252,,19.0,
33,418,87,0,2,,15,,0,5,,0,3,1,2.0,32,0.0,,27,0,0,3,1,95,755252,,6.0,
37,433,5,0,0,,0,,0,0,,0,0,0,0.0,0,0.0,,3,0,0,0,4,3,755252,,0.0,
39,419,198,46,11,,23,,7,48,,74,6,183,71.0,122,10.0,,108,4,2,106,27,229,755252,,18.0,
42,407,629,11,16,,48,,8,52,,6,203,11,241.0,49,12.0,,628,435,256,110,7,7,755252,,66.0,
44,388,348,2,16,,40,,0,27,,2,5,12,92.0,9,8.0,,196,3,360,131,5,2,755252,,20.0,
46,404,249,0,11,,68,,1,33,,10,3,1,31.0,143,3.0,,76,1,6,18,12,215,755252,,1.0,
48,415,158,0,0,,2,,3,19,,45,29,2,14.0,112,0.0,,86,1,2,8,2,4,755252,,7.0,
51,430,423,0,11,,40,,7,43,,9,9,17,58.0,11,16.0,,125,6,326,93,6,6,755252,,16.0,
