id,cross_session_id,GFP,Slc17a7,Ndnf,Hpse,Pthlh,Chat,Tac1,Calb1,Mme,Crh,Reln,Tac2,Lamp5,Calb2,Pdyn,Penk,Gad2,Npy,Pvalb,Cck,Sst,Vip,mouse_id,Ptprt,Nos1,Chrna4
3,672,543,0,21,,21,,5,18,,1,6,4,27.0,4,21.0,,168,0,120,29,3,3,767022,,14.0,
4,636,675,33,32,,45,,6,25,,3,45,17,63.0,11,62.0,,231,6,228,79,21,3,767022,,30.0,
5,642,696,32,36,,55,,3,24,,1,13,9,59.0,9,43.0,,219,7,222,74,8,7,767022,,29.0,
6,645,615,13,37,,41,,17,26,,5,19,12,66.0,14,60.0,,179,4,204,79,7,5,767022,,32.0,
7,589,717,3,27,,57,,5,19,,1,48,6,46.0,5,21.0,,161,2,226,29,4,2,767022,,28.0,
9,686,540,5,10,,38,,11,8,,1,59,9,23.0,5,26.0,,162,0,109,16,1,3,767022,,15.0,
12,648,530,6,17,,21,,6,19,,1,42,12,41.0,6,39.0,,160,4,128,31,9,2,767022,,18.0,
13,637,435,1,13,,24,,2,4,,0,4,4,13.0,2,22.0,,113,1,90,25,1,1,767022,,13.0,
14,673,313,0,7,,24,,2,8,,12,5,5,24.0,62,14.0,,142,1,1,12,15,277,767022,,5.0,
15,633,354,0,18,,21,,5,123,,1,251,4,24.0,194,112.0,,201,51,3,42,386,3,767022,,25.0,
16,602,710,2,32,,45,,10,32,,4,28,8,46.0,8,36.0,,219,6,242,33,3,4,767022,,19.0,
17,703,254,1,19,,12,,1,13,,0,284,3,27.0,6,224.0,,182,54,7,39,420,1,767022,,70.0,
18,649,548,0,6,,13,,6,12,,5,5,1,20.0,6,21.0,,118,2,74,15,0,2,767022,,4.0,
19,668,245,1,10,,2,,5,187,,2,100,0,15.0,182,105.0,,123,73,4,22,305,0,767022,,18.0,
20,620,392,0,2,,16,,5,9,,0,10,4,25.0,5,11.0,,97,0,67,10,2,1,767022,,2.0,
22,678,598,0,6,,6,,40,12,,1,37,1,29.0,3,16.0,,213,2,145,24,3,2,767022,,5.0,
23,662,469,0,6,,20,,105,24,,2,76,7,26.0,14,17.0,,139,4,53,23,2,2,767022,,11.0,
24,687,227,2,16,,21,,3,18,,0,4,3,14.0,119,6.0,,91,2,5,11,22,200,767022,,11.0,
30,647,446,61,38,,50,,23,49,,3,69,24,75.0,21,57.0,,209,19,160,76,16,8,767022,,34.0,
31,638,0,0,0,,0,,0,0,,0,0,0,31.0,0,25.0,,0,0,164,31,0,0,767022,,15.0,
32,621,363,18,12,,37,,13,26,,12,7,9,11.0,115,21.0,,155,1,3,19,16,318,767022,,10.0,
34,674,574,8,16,,23,,8,41,,5,17,6,36.0,10,46.0,,199,5,176,57,4,2,767022,,20.0,
35,639,439,5,13,,32,,8,11,,4,25,9,29.0,9,20.0,,129,4,117,15,1,3,767022,,17.0,
36,614,256,7,8,,53,,4,36,,1,5,6,16.0,171,20.0,,35,3,5,15,13,247,767022,,9.0,
